2026-05-21 14:44:56,530 [INFO] paper-strat: [AKSHARE] 订阅 603178.SSE (累计 22 只)
2026-05-21 14:44:56,533 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603986', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,534 [INFO] paper-strat: [AKSHARE] 订阅 603986.SSE (累计 22 只)
2026-05-21 14:44:56,538 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301120', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,539 [INFO] paper-strat: [AKSHARE] 订阅 301120.SZSE (累计 22 只)
2026-05-21 14:44:56,542 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,543 [INFO] paper-strat: [AKSHARE] 订阅 301179.SZSE (累计 22 只)
2026-05-21 14:44:56,547 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,548 [INFO] paper-strat: [AKSHARE] 订阅 600021.SSE (累计 22 只)
2026-05-21 14:44:56,552 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,553 [INFO] paper-strat: [AKSHARE] 订阅 000600.SZSE (累计 22 只)
2026-05-21 14:44:56,556 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002067', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,557 [INFO] paper-strat: [AKSHARE] 订阅 002067.SZSE (累计 22 只)
2026-05-21 14:44:56,561 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000899', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,563 [INFO] paper-strat: [AKSHARE] 订阅 000899.SZSE (累计 22 只)
2026-05-21 14:44:56,565 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='001896', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,566 [INFO] paper-strat: [AKSHARE] 订阅 001896.SZSE (累计 22 只)
2026-05-21 14:44:56,569 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600310', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,571 [INFO] paper-strat: [AKSHARE] 订阅 600310.SSE (累计 22 只)
2026-05-21 14:44:56,574 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='601222', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,575 [INFO] paper-strat: [AKSHARE] 订阅 601222.SSE (累计 22 只)
2026-05-21 14:44:56,578 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600863', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,580 [INFO] paper-strat: [AKSHARE] 订阅 600863.SSE (累计 22 只)
2026-05-21 14:44:56,583 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='605006', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,584 [INFO] paper-strat: [AKSHARE] 订阅 605006.SSE (累计 22 只)
2026-05-21 14:44:56,588 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='603757', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 14:44:56,588 [INFO] paper-strat: [AKSHARE] 订阅 603757.SSE (累计 22 只)
2026-05-21 14:44:56,593 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002156', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,594 [INFO] paper-strat: [AKSHARE] 订阅 002156.SZSE (累计 22 只)
2026-05-21 14:44:56,597 [INFO] paper-strat: [MainEngine] 订阅行情 -> AKSHARE：SubscribeRequest(symbol='002709', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 14:44:56,599 [INFO] paper-strat: [AKSHARE] 订阅 002709.SZSE (累计 22 只)
