code,entry,exit,entry_p,exit_p,pnl,days,win,bin,month
sh603178,2025-08-06 11:30:00,2025-08-15 10:30:00,18.63,18.26,-1.99,8,0,-2~0%,2025-08
sh603178,2025-08-18 10:30:00,2025-08-28 14:00:00,19.7,19.09,-3.1,10,0,-5~-2%,2025-08
sh603178,2025-09-04 15:00:00,2025-09-19 11:30:00,20.54,20.16,-1.85,14,0,-2~0%,2025-09
sh603178,2025-09-23 11:30:00,2025-10-09 10:30:00,21.76,20.33,-6.57,15,0,-10~-5%,2025-10
sh603178,2025-10-16 11:30:00,2025-10-23 11:30:00,21.45,19.92,-7.13,7,0,-10~-5%,2025-10
sh603178,2025-10-24 11:30:00,2025-10-28 11:30:00,22.88,21.41,-6.42,4,0,-10~-5%,2025-10
sh603178,2025-12-15 11:30:00,2025-12-24 10:30:00,18.37,18.29,-0.44,8,0,-2~0%,2025-12
sh603178,2025-12-24 14:00:00,2026-01-14 15:00:00,18.54,18.57,0.16,21,1,0~2%,2026-01
sh603178,2026-02-04 14:00:00,2026-02-13 10:30:00,17.82,17.38,-2.47,8,0,-5~-2%,2026-02
sh603178,2026-02-26 10:30:00,2026-03-02 11:30:00,17.7,17.35,-1.98,4,0,-2~0%,2026-03
sh603178,2026-03-11 10:30:00,2026-03-18 11:30:00,16.78,16.16,-3.69,7,0,-5~-2%,2026-03
sh603178,2026-04-08 15:00:00,2026-04-23 11:30:00,15.44,19.85,28.56,14,1,>10%,2026-04
sh603178,2026-04-28 15:00:00,2026-05-20 11:30:00,18.6,21.86,17.53,21,1,>10%,2026-05
sz000899,2025-06-25 14:00:00,2025-07-23 15:00:00,8.6,9.37,8.95,28,1,5~10%,2025-07
sz000899,2025-08-05 11:30:00,2025-08-14 14:00:00,9.46,9.29,-1.8,9,0,-2~0%,2025-08
sz000899,2025-08-19 10:30:00,2025-08-28 10:30:00,9.49,9.63,1.48,9,1,0~2%,2025-08
sz000899,2025-09-02 11:30:00,2025-09-16 11:30:00,9.82,9.86,0.41,14,1,0~2%,2025-09
sz000899,2025-10-09 11:30:00,2025-11-12 11:30:00,9.69,10.49,8.26,34,1,5~10%,2025-11
sz000899,2025-11-27 11:30:00,2025-12-09 10:30:00,10.02,9.93,-0.9,11,0,-2~0%,2025-12
sz000899,2025-12-23 11:30:00,2025-12-30 11:30:00,10.05,10.05,0.0,7,0,-2~0%,2025-12
sz000899,2026-01-07 14:00:00,2026-01-27 11:30:00,10.19,10.56,3.63,19,1,2~5%,2026-01
sz000899,2026-02-12 11:30:00,2026-02-13 11:30:00,11.0,10.6,-3.64,1,0,-5~-2%,2026-02
sz000899,2026-02-25 11:30:00,2026-03-03 15:00:00,12.07,13.88,15.0,6,1,>10%,2026-03
sz000899,2026-03-11 14:00:00,2026-03-13 11:30:00,16.15,14.21,-12.01,1,0,<-10%,2026-03
sz000899,2026-03-25 11:30:00,2026-03-30 11:30:00,14.31,13.36,-6.64,5,0,-10~-5%,2026-03
sz000899,2026-04-15 11:30:00,2026-04-28 11:30:00,13.22,12.52,-5.3,13,0,-10~-5%,2026-04
sz000899,2026-05-07 11:30:00,2026-05-15 10:30:00,13.37,13.3,-0.52,7,0,-2~0%,2026-05
sz000899,2026-05-19 15:00:00,2026-05-21 15:00:00,14.3,13.28,-7.13,2,0,-10~-5%,2026-05
sz000899,2026-05-28 11:30:00,2026-06-08 11:30:00,13.9,13.22,-4.89,11,0,-5~-2%,2026-06
sh600330,2025-06-05 11:30:00,2025-06-19 14:00:00,6.81,6.85,0.59,14,1,0~2%,2025-06
sh600330,2025-06-24 11:30:00,2025-08-01 14:00:00,7.07,7.91,11.88,38,1,>10%,2025-08
sh600330,2025-08-11 14:00:00,2025-08-21 15:00:00,8.06,8.78,8.93,10,1,5~10%,2025-08
sh600330,2025-08-29 10:30:00,2025-09-09 15:00:00,9.49,10.89,14.75,11,1,>10%,2025-09
