没有配置要使用的数据服务，请修改全局配置中的datafeed相关内容
2026-05-21 10:05:57.623 | INFO | CtaStrategy | [thr_301179]  策略初始化: 301179.SZSE
2026-05-21 10:05:57.624 | INFO | CtaStrategy | [thr_301179]    规则: buy_zone=25.0 buy_strong=22.0 trend_break=19.0 take_profit=0.0 auto=False
2026-05-21 10:05:57.624 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='301179', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.624 | INFO | AKSHARE | 订阅 301179.SZSE (累计 23 只)
2026-05-21 10:05:57.627 | INFO | CtaStrategy | thr_301179初始化完成
2026-05-21 10:05:57.629 | INFO | CtaStrategy | thr_600021开始执行初始化
2026-05-21 10:05:57.629 | INFO | CtaStrategy | [thr_600021]  策略初始化: 600021.SSE
2026-05-21 10:05:57.631 | INFO | CtaStrategy | [thr_600021]    规则: buy_zone=17.5 buy_strong=16.5 trend_break=15.5 take_profit=0.0 auto=False
2026-05-21 10:05:57.632 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='600021', exchange=<Exchange.SSE: 'SSE'>)
2026-05-21 10:05:57.633 | INFO | AKSHARE | 订阅 600021.SSE (累计 23 只)
2026-05-21 10:05:57.634 | INFO | CtaStrategy | thr_600021初始化完成
2026-05-21 10:05:57.635 | INFO | CtaStrategy | thr_000600开始执行初始化
2026-05-21 10:05:57.635 | INFO | CtaStrategy | [thr_000600]  策略初始化: 000600.SZSE
2026-05-21 10:05:57.638 | INFO | CtaStrategy | [thr_000600]    规则: buy_zone=9.8 buy_strong=9.2 trend_break=8.8 take_profit=0.0 auto=False
2026-05-21 10:05:57.638 | INFO | MainEngine | 订阅行情 -> AKSHARE：SubscribeRequest(symbol='000600', exchange=<Exchange.SZSE: 'SZSE'>)
2026-05-21 10:05:57.639 | INFO | AKSHARE | 订阅 000600.SZSE (累计 23 只)
2026-05-21 10:05:57.641 | INFO | CtaStrategy | thr_000600初始化完成
2026-05-21 10:05:57.641 | INFO | CtaStrategy | thr_002067开始执行初始化
2026-05-21 10:05:57.642 | INFO | CtaStrategy | [thr_002067]  策略初始化: 002067.SZSE
2026-05-21 10:05:57.642 | INFO | CtaStrategy | [thr_002067]    规则: buy_zone=4.95 buy_strong=4.7 trend_break=4.5 take_profit=0.0 auto=False
